State,District,Latitude,Longitude,District code,Population,Housholds_with_Electric_Lighting,Households_with_Internet,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,566108,5512,100.15,54.11
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,897970,8606,97.68,56.63
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,944555,13763,99.7,63.92
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,1297273,22411,100.58,63.8
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,1186028,19383,100.28,60.57
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,869721,149034,95.35,73.34
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,926768,8831,100.78,58.44
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,668519,8628,101.11,58.28
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,1163932,30438,99.23,66.63
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,816721,10081,98.77,52.48
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,757821,6153,97.67,47.88
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,604719,8635,99.16,53.97
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,789225,7715,98.25,57.36
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,545913,5261,104.0,54.47
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,763746,6151,98.13,56.05
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,615432,3988,101.46,55.32
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,527736,4453,101.85,52.82
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,828077,12952,99.66,58.79
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1017568,12050,100.36,67.37
Arunachal Pradesh,Changlang,27.360484793388455,96.37552644628106,253,148226,14593,170,92.63,49.37
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,5318,57,102.94,48.86
Arunachal Pradesh,East Siang,28.153823529411756,95.06499226006191,251,99214,14231,450,97.97,63.07
Arunachal Pradesh,Kurung Kumey,28.048533518005534,93.24531994459834,256,92076,3911,95,103.18,39.76
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,17157,312,91.19,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,5932,207,92.78,58.89
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,12493,381,98.43,65.11
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,30539,2477,97.99,68.55
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,8635,96,71.44,52.17
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,16026,98,94.39,42.84
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,6198,97,88.89,51.51
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,5373,139,99.84,54.26
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,14188,202,81.88,57.77
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,14204,303,93.02,57.67
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,84804,2078,95.34,52.97
Assam,Bongaigaon,26.450125219941334,90.6734296187684,319,738804,49866,2523,96.59,58.75
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,140205,5316,95.94,67.61
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,45444,1166,95.36,52.45
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,28195,1192,95.34,61.65
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,136685,8817,96.08,66.69
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,78641,1364,96.42,55.9
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,82345,3073,96.42,67.65
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,44143,1211,95.12,61.79
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,122063,5651,96.16,72.78
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,122191,3109,94.94,65.59
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,53918,1923,95.1,58.27
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,70951,1933,96.32,64.73
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,41373,1218,95.88,55.16
Assam,Lakhimpur,27.141288059701495,94.0775949253732,307,1042137,60296,1948,96.75,65.59
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,195631,5121,96.22,60.58
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,68313,1631,94.86,68.91
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,133368,4358,95.56,57.61
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,161718,5135,95.22,60.12
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,43290,2561,92.13,42.53
Bihar,Aurangabad,24.774291867469874,84.45986024096379,235,2540073,44456,2362,92.62,57.71
Bihar,Aurangabad,24.774291867469874,84.45986024096379,515,3701282,589477,23258,92.33,67.65
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,62359,1704,90.67,47.44
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,120373,4644,89.49,52.13
Bihar,Bhagalpur,25.277192885375474,87.04213814229242,224,3037766,174534,6764,88.02,51.78
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,62153,3661,90.75,58.61
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,46760,1784,92.16,58.01
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,127442,6280,91.14,46.14
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,112617,6856,93.75,52.32
